time,x,y,z,qx,qy,qz,qw,gripper_stat
1.659117202307126999e+09,2.859839200973510742e-01,2.256202697753900005e-02,-2.370523065328598022e-01,-5.718632340431213379e-01,-4.660103023052215021e-01,4.398837089538574219e-01,-5.121612548828125000e-01,0.000000000000000000e+00
1.659117202314350843e+09,2.859963774681090753e-01,2.253607660531990048e-02,-2.370030581951141080e-01,-5.720915198326110840e-01,-4.658825397491455078e-01,4.398043453693389893e-01,-5.120908617973327637e-01,0.000000000000000000e+00
1.659117202321422338e+09,2.860113680362700861e-01,2.251148968935010042e-02,-2.369528263807295920e-01,-5.722046494483947754e-01,-4.657893180847167969e-01,4.397633671760559082e-01,-5.120844841003417969e-01,0.000000000000000000e+00
1.659117202328164339e+09,2.860190868377684992e-01,2.248312532901760100e-02,-2.369254231452941895e-01,-5.723289847373962402e-01,-4.657013714313507080e-01,4.397477209568023127e-01,-5.120387673377990723e-01,0.000000000000000000e+00
1.659117202340728998e+09,2.860273122787475031e-01,2.246520295739170073e-02,-2.369132936000823975e-01,-5.724095106124877930e-01,-4.656942486762999933e-01,4.397166073322296143e-01,-5.119820833206176758e-01,0.000000000000000000e+00
1.659117202348937988e+09,2.860347032546997070e-01,2.244466915726659947e-02,-2.369117736816405972e-01,-5.723986625671386719e-01,-4.657348394393920898e-01,4.397356212139129084e-01,-5.119410157203674316e-01,0.000000000000000000e+00
1.659117202360118389e+09,2.860273122787475031e-01,2.243013679981229955e-02,-2.369274049997328879e-01,-5.724798440933227539e-01,-4.657064378261566162e-01,4.397211968898773193e-01,-5.118882656097412109e-01,0.000000000000000000e+00
1.659117202368000031e+09,2.860176861286162775e-01,2.244035154581069946e-02,-2.369064688682555875e-01,-5.725136399269104004e-01,-4.657319784164428156e-01,4.396848082542418878e-01,-5.118585824966430664e-01,0.000000000000000000e+00
1.659117202376595020e+09,2.860039770603179932e-01,2.243685349822039862e-02,-2.369208931922912043e-01,-5.725837945938110352e-01,-4.657764732837677002e-01,4.396130144596099854e-01,-5.118011832237243652e-01,0.000000000000000000e+00
1.659117202383707285e+09,2.860008776187896729e-01,2.245106920599930153e-02,-2.369312644004820945e-01,-5.725743174552917480e-01,-4.659003913402556818e-01,4.395618140697479248e-01,-5.117431282997131348e-01,0.000000000000000000e+00
1.659117202390198946e+09,2.859941422939299982e-01,2.245724201202390150e-02,-2.369583398103713989e-01,-5.725843906402587891e-01,-4.659988284111022949e-01,4.395400583744049072e-01,-5.116607546806335449e-01,0.000000000000000000e+00
1.659117202396478415e+09,2.859973311424254816e-01,2.246600389480590126e-02,-2.369743138551712036e-01,-5.724806189537048340e-01,-4.661490619182586115e-01,4.395451545715332031e-01,-5.116357207298278809e-01,0.000000000000000000e+00
1.659117202412322283e+09,2.859893739223480225e-01,2.246094122529029846e-02,-2.370226234197616022e-01,-5.724988579750061035e-01,-4.662241339683532160e-01,4.395769536495208740e-01,-5.115196108818054199e-01,0.000000000000000000e+00
1.659117202422022343e+09,2.860006093978881836e-01,2.244666218757620027e-02,-2.370876967906951904e-01,-5.724958777427673340e-01,-4.663149416446685791e-01,4.395704865455626886e-01,-5.114456415176391602e-01,0.000000000000000000e+00
1.659117202432730198e+09,2.859966456890106201e-01,2.245559543371199868e-02,-2.371455430984497070e-01,-5.724791884422302246e-01,-4.663796126842498779e-01,4.396294653415679932e-01,-5.113547444343566895e-01,0.000000000000000000e+00
1.659117202440207958e+09,2.860088050365447998e-01,2.246587350964539959e-02,-2.372247874736785889e-01,-5.725013613700866699e-01,-4.663774371147155762e-01,4.396673738956450861e-01,-5.112993121147155762e-01,0.000000000000000000e+00
1.659117202447876215e+09,2.860224545001983087e-01,2.249796688556670102e-02,-2.372711896896362027e-01,-5.725170373916625977e-01,-4.663134217262268066e-01,4.397600591182708740e-01,-5.112603306770324707e-01,0.000000000000000000e+00
1.659117202461146116e+09,2.860411107540130060e-01,2.252999320626249830e-02,-2.373395860195159912e-01,-5.725434422492980957e-01,-4.662567377090454102e-01,4.398373365402221125e-01,-5.112161040306091309e-01,0.000000000000000000e+00
