time,x,y,z,qx,qy,qz,qw,gripper_stat
1.658935296204248428e+09,2.108967602252959928e-01,2.971870824694630014e-02,-2.119055688381195068e-01,5.342349410057067871e-01,4.684914350509643000e-01,-4.809253811836242121e-01,5.136337280273437500e-01,0.000000000000000000e+00
1.658935296218368292e+09,2.108656316995619895e-01,2.968012914061540081e-02,-2.118730992078781128e-01,5.341905951499938965e-01,4.685571789741516113e-01,-4.808056354522705078e-01,5.137320160865783691e-01,0.000000000000000000e+00
1.658935296233302116e+09,2.108469456434249878e-01,2.965229749679559879e-02,-2.118739783763884943e-01,5.341721177101135254e-01,4.685828983783721924e-01,-4.807253777980803888e-01,5.138027667999267578e-01,0.000000000000000000e+00
1.658935296252849102e+09,2.108289301395415982e-01,2.962986007332800084e-02,-2.118628025054931086e-01,5.341458320617675781e-01,4.685987532138823908e-01,-4.806784391403198242e-01,5.138598084449768066e-01,0.000000000000000000e+00
1.658935296267402172e+09,2.108149677515029907e-01,2.960680983960619836e-02,-2.118550240993498923e-01,5.341638922691345215e-01,4.686264097690582275e-01,-4.806165993213653009e-01,5.138735175132751465e-01,0.000000000000000000e+00
1.658935296282314777e+09,2.107981890439986905e-01,2.958429232239720083e-02,-2.118426114320755005e-01,5.342017412185668945e-01,4.686396121978759766e-01,-4.805463254451751154e-01,5.138878226280212402e-01,0.000000000000000000e+00
1.658935296298018932e+09,2.107887268066405972e-01,2.957224845886230122e-02,-2.118308991193771085e-01,5.342159271240234375e-01,4.686685204505919855e-01,-4.805127084255217951e-01,5.138781070709228516e-01,0.000000000000000000e+00
1.658935296314921379e+09,2.107702195644378107e-01,2.956586703658100126e-02,-2.118222862482070923e-01,5.342864394187927246e-01,4.686207473278045099e-01,-4.804919362068176270e-01,5.138679146766662598e-01,0.000000000000000000e+00
1.658935296329566240e+09,2.107679992914198996e-01,2.956721372902389872e-02,-2.118261009454726895e-01,5.342805385589599609e-01,4.686215221881865900e-01,-4.805259406566619873e-01,5.138414502143859863e-01,0.000000000000000000e+00
1.658935296344822168e+09,2.107695788145065030e-01,2.957003936171529943e-02,-2.118162214756011963e-01,5.342596769332885742e-01,4.686265587806701105e-01,-4.805180430412291925e-01,5.138659477233886719e-01,0.000000000000000000e+00
1.658935296355949163e+09,2.107825279235839011e-01,2.958283945918080068e-02,-2.118230164051055908e-01,5.341985225677490234e-01,4.686179161071776789e-01,-4.805714488029479980e-01,5.138874053955078125e-01,0.000000000000000000e+00
1.658935296371576071e+09,2.107952833175658902e-01,2.959286607801910052e-02,-2.118256390094757080e-01,5.341479182243347168e-01,4.686503410339354914e-01,-4.805854856967926025e-01,5.138974785804748535e-01,0.000000000000000000e+00
1.658935296388956070e+09,2.108068913221358975e-01,2.960584685206410147e-02,-2.118282765150069913e-01,5.340881943702697754e-01,4.686658084392547052e-01,-4.805878996849060059e-01,5.139430761337280273e-01,0.000000000000000000e+00
1.658935296403017521e+09,2.108120024204253873e-01,2.960936911404130067e-02,-2.118339985609054010e-01,5.340585708618164062e-01,4.686644971370697021e-01,-4.805752336978911798e-01,5.139868259429931641e-01,0.000000000000000000e+00
1.658935296417302847e+09,2.108007967472076138e-01,2.962045744061470032e-02,-2.118236720561980924e-01,5.340297222137451172e-01,4.686480164527893066e-01,-4.805498123168944757e-01,5.140557289123535156e-01,0.000000000000000000e+00
1.658935296431245804e+09,2.107925862073898038e-01,2.962305955588809964e-02,-2.118311673402785977e-01,5.339701771736145020e-01,4.686294496059417725e-01,-4.805678129196166992e-01,5.141174793243408203e-01,0.000000000000000000e+00
1.658935296447683573e+09,2.107693403959274014e-01,2.961651794612400052e-02,-2.118365913629531028e-01,5.339562296867370605e-01,4.685717821121215820e-01,-4.805428385734558105e-01,5.142078995704650879e-01,0.000000000000000000e+00
1.658935296466691494e+09,2.107390910387038907e-01,2.960104495286940141e-02,-2.118431925773620050e-01,5.339345932006835938e-01,4.685398638248443048e-01,-4.805556833744049072e-01,5.142474770545959473e-01,0.000000000000000000e+00
1.658935296481662512e+09,2.106918990612030029e-01,2.957903221249580036e-02,-2.118649482727049949e-01,5.338427424430847168e-01,4.685122966766356867e-01,-4.805837571620941162e-01,5.143417119979858398e-01,0.000000000000000000e+00
1.658935296495733500e+09,2.106601297855376920e-01,2.957723475992669881e-02,-2.118644267320632935e-01,5.338124036788940430e-01,4.684667289257049005e-01,-4.805734455585479736e-01,5.144243240356445312e-01,0.000000000000000000e+00
1.658935296510897636e+09,2.106327265501022061e-01,2.957266941666599966e-02,-2.118709087371825894e-01,5.337571501731872559e-01,4.684322178363800049e-01,-4.805862009525299072e-01,5.145011544227600098e-01,0.000000000000000000e+00
1.658935296525681257e+09,2.106155008077620905e-01,2.957066148519510093e-02,-2.118916511535643976e-01,5.337060689926147461e-01,4.684145450592041016e-01,-4.805620610713958740e-01,5.145928263664245605e-01,0.000000000000000000e+00
1.658935296540086746e+09,2.105960696935653131e-01,2.958002127707000037e-02,-2.119060009717941007e-01,5.336128473281860352e-01,4.684574604034423828e-01,-4.805774092674254816e-01,5.146362185478210449e-01,0.000000000000000000e+00
1.658935296556351900e+09,2.105712145566940030e-01,2.957414649426930164e-02,-2.119148969650268000e-01,5.335607528686523438e-01,4.684560298919677734e-01,-4.805481433868408203e-01,5.147187113761901855e-01,0.000000000000000000e+00
1.658935296571572781e+09,2.105337083339690885e-01,2.957483753561970102e-02,-2.119206935167312067e-01,5.334996581077575684e-01,4.684633612632750910e-01,-4.805270135402678888e-01,5.147952437400817871e-01,0.000000000000000000e+00
1.658935296586367607e+09,2.104752063751219870e-01,2.954941615462300039e-02,-2.119263559579848966e-01,5.334507226943969727e-01,4.685120880603789728e-01,-4.805853664875029962e-01,5.147470831871032715e-01,0.000000000000000000e+00
1.658935296598394394e+09,2.104305326938628873e-01,2.952473424375049935e-02,-2.119377106428146085e-01,5.334044098854064941e-01,4.685414731502532959e-01,-4.805544018745421808e-01,5.147972106933593750e-01,0.000000000000000000e+00
1.658935296608813763e+09,2.103803753852843961e-01,2.949962764978400140e-02,-2.119457870721817017e-01,5.333594083786010742e-01,4.686230719089508057e-01,-4.805116057395935059e-01,5.148094296455383301e-01,0.000000000000000000e+00
1.658935296636191130e+09,2.103212773799895963e-01,2.946784161031239940e-02,-2.119573801755904874e-01,5.333263278007507324e-01,4.686575829982757013e-01,-4.804834723472595215e-01,5.148385763168334961e-01,0.000000000000000000e+00
1.658935296647762299e+09,2.102529257535933893e-01,2.943263761699189962e-02,-2.119699269533157071e-01,5.333430767059326172e-01,4.686964154243469238e-01,-4.803547561168670099e-01,5.149058699607849121e-01,0.000000000000000000e+00
