time,x,y,z,qx,qy,qz,qw,gripper_stat
1.659113078800465584e+09,1.349718123674391868e-01,8.008667826652519917e-02,-2.528790533542633057e-01,-5.851567983627319336e-01,-3.704972565174102783e-01,2.226988226175307950e-01,-6.860966682434082031e-01,0.000000000000000000e+00
1.659113078809404373e+09,1.350140720605849942e-01,8.031224459409709582e-02,-2.530445456504821777e-01,-5.846667885780334473e-01,-3.704329729080200195e-01,2.230024933815001886e-01,-6.864504218101501465e-01,0.000000000000000000e+00
1.659113078816725492e+09,1.349862217903136929e-01,8.047685027122490620e-02,-2.530638277530670166e-01,-5.844400525093078613e-01,-3.705590367317199152e-01,2.230716347694396973e-01,-6.865530014038085938e-01,0.000000000000000000e+00
1.659113078823276281e+09,1.349863857030867975e-01,8.059699833393089985e-02,-2.531028091907501221e-01,-5.842180848121643066e-01,-3.705727458000183105e-01,2.232418507337569913e-01,-6.866791248321533203e-01,0.000000000000000000e+00
1.659113078833009243e+09,1.350138634443283081e-01,8.072525262832640214e-02,-2.531628906726837158e-01,-5.839644074440002441e-01,-3.704367578029632013e-01,2.234041541814804077e-01,-6.869155168533325195e-01,0.000000000000000000e+00
1.659113078840419054e+09,1.350231766700744074e-01,8.082178980112070255e-02,-2.531927227973937988e-01,-5.838201045989990234e-01,-3.704623878002166748e-01,2.235026508569717130e-01,-6.869921684265136719e-01,0.000000000000000000e+00
1.659113078848613262e+09,1.350385695695877075e-01,8.098097890615460481e-02,-2.532266974449157160e-01,-5.837047100067138672e-01,-3.703674972057341974e-01,2.235348522663115900e-01,-6.871309280395507812e-01,0.000000000000000000e+00
1.659113078857996464e+09,1.350359171628952026e-01,8.107163757085800171e-02,-2.532407045364379883e-01,-5.836764574050903320e-01,-3.702966868877410889e-01,2.235904783010481955e-01,-6.871750354766845703e-01,0.000000000000000000e+00
1.659113078871819496e+09,1.350682675838469904e-01,8.115548640489569920e-02,-2.532930076122283936e-01,-5.836607217788696289e-01,-3.700110614299774170e-01,2.237545251846312921e-01,-6.872888207435607910e-01,0.000000000000000000e+00
1.659113078878949404e+09,1.350630223751068115e-01,8.124342560768120503e-02,-2.532861828804016113e-01,-5.837236642837524414e-01,-3.699215650558471125e-01,2.238308936357497891e-01,-6.872586607933044434e-01,0.000000000000000000e+00
1.659113078893022299e+09,1.350619047880171897e-01,8.132763206958769364e-02,-2.532816529273986816e-01,-5.838590860366821289e-01,-3.698001205921173096e-01,2.238591015338896872e-01,-6.871998906135559082e-01,0.000000000000000000e+00
1.659113078905250311e+09,1.350542008876799982e-01,8.141785115003580264e-02,-2.532712817192077082e-01,-5.839737057685852051e-01,-3.697122931480407160e-01,2.239761650562286099e-01,-6.871116161346435547e-01,0.000000000000000000e+00
1.659113078916481972e+09,1.350601166486740112e-01,8.155123144388190526e-02,-2.532378435134887140e-01,-5.842001438140869141e-01,-3.697477281093596857e-01,2.243196964263916016e-01,-6.867879033088684082e-01,0.000000000000000000e+00
1.659113078924771070e+09,1.350620388984679898e-01,8.162349462509149722e-02,-2.532184422016143799e-01,-5.843324065208435059e-01,-3.697101771831511896e-01,2.244855463504790982e-01,-6.866413950920104980e-01,0.000000000000000000e+00
