time,x,y,z,qx,qy,qz,qw,gripper_stat
1.659116494980793715e+09,2.293700128793715876e-01,1.907098293304443082e-01,-2.605479061603546143e-01,-4.802634418010711115e-01,-5.058465600013732910e-01,3.750044405460357111e-01,-6.106045842170715332e-01,0.000000000000000000e+00
1.659116494989786863e+09,2.290815263986586969e-01,1.904482394456863126e-01,-2.603664696216583252e-01,-4.802997112274169922e-01,-5.063610076904296875e-01,3.746935427188872736e-01,-6.103405356407165527e-01,0.000000000000000000e+00
1.659116494998354197e+09,2.287819236516951960e-01,1.901749372482298972e-01,-2.603809833526610773e-01,-4.806894063949584961e-01,-5.066720247268676758e-01,3.746915161609649103e-01,-6.097766160964965820e-01,0.000000000000000000e+00
1.659116495004482746e+09,2.284709513187407892e-01,1.899061650037764948e-01,-2.602884471416472834e-01,-4.802496731281279962e-01,-5.069152712821960449e-01,3.748676180839538019e-01,-6.098126769065856934e-01,0.000000000000000000e+00
1.659116495011544228e+09,2.281442880630492887e-01,1.896633505821228027e-01,-2.599778473377227783e-01,-4.809533655643463135e-01,-5.067753791809082031e-01,3.744764328002929132e-01,-6.096146702766418457e-01,0.000000000000000000e+00
1.659116495025328398e+09,2.276526987552641990e-01,1.892932206392287930e-01,-2.598044276237487793e-01,-4.801086187362670898e-01,-5.076157450675964355e-01,3.741408288478850763e-01,-6.097874045372009277e-01,0.000000000000000000e+00
1.659116495031508923e+09,2.272959947586059015e-01,1.890342384576796930e-01,-2.596023976802825928e-01,-4.802055656909942072e-01,-5.075954794883728027e-01,3.737605512142180841e-01,-6.099610924720764160e-01,0.000000000000000000e+00
1.659116495041623831e+09,2.269621342420578003e-01,1.887837052345275879e-01,-2.594719529151915949e-01,-4.804325699806212824e-01,-5.076351761817932129e-01,3.734719455242156982e-01,-6.099260449409484863e-01,0.000000000000000000e+00
1.659116495055084467e+09,2.266546189785003107e-01,1.885014772415161133e-01,-2.591949999332427979e-01,-4.814746379852294922e-01,-5.074483752250671387e-01,3.725482523441314142e-01,-6.098247170448303223e-01,0.000000000000000000e+00
1.659116495064469576e+09,2.262289673089981079e-01,1.880537718534469049e-01,-2.590527236461638849e-01,-4.808795154094696045e-01,-5.081073045730590820e-01,3.724089264869689941e-01,-6.098306179046630859e-01,0.000000000000000000e+00
1.659116495072098017e+09,2.259130775928497037e-01,1.876507401466369074e-01,-2.589064240455626886e-01,-4.813295900821685791e-01,-5.083023905754089355e-01,3.719123303890228271e-01,-6.096161603927612305e-01,0.000000000000000000e+00
1.659116495080685377e+09,2.256543487310408991e-01,1.874265521764754971e-01,-2.586994767189025879e-01,-4.821578860282897949e-01,-5.079463720321655273e-01,3.713271319866179865e-01,-6.096150875091552734e-01,0.000000000000000000e+00
1.659116495088409662e+09,2.252745330333708884e-01,1.869807839393614890e-01,-2.584868371486663818e-01,-4.822412431240081787e-01,-5.081201791763305664e-01,3.707008957862854004e-01,-6.097853183746337891e-01,0.000000000000000000e+00
1.659116495095272779e+09,2.247959226369856955e-01,1.864768117666243952e-01,-2.582020461559295099e-01,-4.809883236885070801e-01,-5.096045136451721191e-01,3.707280457019805908e-01,-6.095197200775146484e-01,0.000000000000000000e+00
1.659116495105693102e+09,2.246309369802474976e-01,1.860445588827132901e-01,-2.583613097667694092e-01,-4.810532033443450928e-01,-5.091118812561035156e-01,3.711794018745421808e-01,-6.096055507659912109e-01,0.000000000000000000e+00
1.659116495113387585e+09,2.243455946445465088e-01,1.857101023197174072e-01,-2.582572102546691895e-01,-4.808949828147888184e-01,-5.095654129981994629e-01,3.709172308444976807e-01,-6.095108389854431152e-01,0.000000000000000000e+00
1.659116495122233152e+09,2.240082621574401023e-01,1.852736175060271939e-01,-2.582612037658690851e-01,-4.807572662830352783e-01,-5.101019740104675293e-01,3.704219758510589044e-01,-6.094720363616943359e-01,0.000000000000000000e+00
1.659116495127197981e+09,2.237510532140730979e-01,1.849224120378493985e-01,-2.582581937313079834e-01,-4.808404445648192804e-01,-5.104949474334716797e-01,3.703774809837340753e-01,-6.091042160987854004e-01,0.000000000000000000e+00
1.659116495133847237e+09,2.234440296888350885e-01,1.845497936010359885e-01,-2.581139504909514826e-01,-4.806772172451018732e-01,-5.106841325759887695e-01,3.704513013362883966e-01,-6.090295314788818359e-01,0.000000000000000000e+00
1.659116495140127659e+09,2.234108299016951960e-01,1.840833872556686124e-01,-2.580747306346892755e-01,-4.799174070358275812e-01,-5.122782588005065918e-01,3.699219822883605957e-01,-6.086115241050720215e-01,0.000000000000000000e+00
1.659116495147588491e+09,2.230971753597258966e-01,1.836485266685485007e-01,-2.580332159996032160e-01,-4.797110259532927912e-01,-5.122336745262145996e-01,3.693263828754425049e-01,-6.091732978820800781e-01,0.000000000000000000e+00
