time,x,y,z,qx,qy,qz,qw,gripper_stat
1.659111330008032560e+09,3.035237193107604980e-01,1.567342281341551902e-01,-5.061792582273479807e-02,-4.802539646625518799e-01,-5.285140275955200195e-01,4.543439149856566828e-01,-5.325418710708618164e-01,0.000000000000000000e+00
1.659111330020448446e+09,3.035126626491546076e-01,1.567386239767074030e-01,-5.061515048146240231e-02,-4.802446961402893066e-01,-5.285328626632690430e-01,4.542760848999022882e-01,-5.325893163681030273e-01,0.000000000000000000e+00
1.659111330029776812e+09,3.035059869289398193e-01,1.567374169826507013e-01,-5.061437934637069702e-02,-4.802403151988983154e-01,-5.285270214080810547e-01,4.542227387428283136e-01,-5.326445102691650391e-01,0.000000000000000000e+00
1.659111330034389019e+09,3.034889996051787775e-01,1.567470580339430930e-01,-5.060340836644169893e-02,-4.802280068397521973e-01,-5.285419821739196777e-01,4.541969001293181818e-01,-5.326627492904663086e-01,0.000000000000000000e+00
1.659111330046863794e+09,3.034937083721160889e-01,1.567892283201217096e-01,-5.079630017280570287e-02,-4.798127114772796076e-01,-5.282319784164428711e-01,4.552817642688751221e-01,-5.324184298515319824e-01,0.000000000000000000e+00
1.659111330053058386e+09,3.034819662570952814e-01,1.567398160696029108e-01,-5.069433897733680028e-02,-4.800354838371276855e-01,-5.284628272056579590e-01,4.547454416751861017e-01,-5.324468016624450684e-01,0.000000000000000000e+00
1.659111330064348459e+09,3.034802079200744074e-01,1.567295640707015991e-01,-5.064070969820019807e-02,-4.801386296749114990e-01,-5.286195874214172363e-01,4.544090926647185724e-01,-5.324852466583251953e-01,0.000000000000000000e+00
1.659111330071531534e+09,3.034757077693939209e-01,1.567689776420592984e-01,-5.064604803919790094e-02,-4.801031351089476984e-01,-5.285511016845703125e-01,4.543611109256743830e-01,-5.326262116432189941e-01,0.000000000000000000e+00
1.659111330084560156e+09,3.034741878509520929e-01,1.567855477333068015e-01,-5.070932209491729736e-02,-4.799585342407226007e-01,-5.284469723701477051e-01,4.546446502208709162e-01,-5.326179265975952148e-01,0.000000000000000000e+00
1.659111330092112303e+09,3.034718930721282959e-01,1.567824035882948996e-01,-5.071500688791270167e-02,-4.799422323703765869e-01,-5.284250974655151367e-01,4.547277688980101984e-01,-5.325834155082702637e-01,0.000000000000000000e+00
1.659111330099377632e+09,3.034715950489044189e-01,1.567679941654205045e-01,-5.068945884704589844e-02,-4.800099134445189875e-01,-5.284897685050964355e-01,4.545526206493377130e-01,-5.326076745986938477e-01,0.000000000000000000e+00
1.659111330107182503e+09,3.034690618515014093e-01,1.567774116992949884e-01,-5.069033801555630075e-02,-4.799954891204833984e-01,-5.285301804542541504e-01,4.545584917068480890e-01,-5.325757265090942383e-01,0.000000000000000000e+00
1.659111330118374109e+09,3.034735620021820068e-01,1.567641347646712979e-01,-5.069323629140849718e-02,-4.799948930740355890e-01,-5.284976363182067871e-01,4.545837342739105225e-01,-5.325869917869567871e-01,0.000000000000000000e+00
