time,x,y,z,qx,qy,qz,qw,gripper_stat
1.658939432301470041e+09,2.211819142103194913e-01,8.912485092878340287e-02,-2.563485205173491877e-01,5.002552866935729980e-01,5.497542619705200195e-01,-5.067362785339355469e-01,4.367301762104033869e-01,0.000000000000000000e+00
1.658939432306247711e+09,2.211818546056746881e-01,8.915907144546500462e-02,-2.563454210758209229e-01,5.002207756042480469e-01,5.497811436653137207e-01,-5.067601799964904785e-01,4.367081820964813232e-01,0.000000000000000000e+00
1.658939432317665577e+09,2.211848646402359009e-01,8.919889479875560412e-02,-2.563399970531463068e-01,5.002108216285705566e-01,5.498283505439758301e-01,-5.068216919898986816e-01,4.365887939929962158e-01,0.000000000000000000e+00
1.658939432322959661e+09,2.211728543043136042e-01,8.923497796058650622e-02,-2.563572824001312256e-01,5.001516342163085938e-01,5.498381257057189941e-01,-5.068669915199279785e-01,4.365916550159453791e-01,0.000000000000000000e+00
1.658939432335433006e+09,2.211652249097824097e-01,8.927673846483230591e-02,-2.563703954219818115e-01,5.001012086868286133e-01,5.498059988021850586e-01,-5.069512724876403809e-01,4.365921020507811945e-01,0.000000000000000000e+00
1.658939432342969894e+09,2.211900204420088889e-01,8.927744626998899979e-02,-2.564534544944763184e-01,5.001445412635803223e-01,5.497584342956542969e-01,-5.068442225456237793e-01,4.367266595363616943e-01,0.000000000000000000e+00
1.658939432348813295e+09,2.211667746305464866e-01,8.934626728296279907e-02,-2.564184069633483887e-01,4.999088943004608154e-01,5.498086214065551758e-01,-5.071993470191955566e-01,4.365209639072418213e-01,0.000000000000000000e+00
1.658939432356067657e+09,2.211716175079344870e-01,8.936708420515060425e-02,-2.564644813537597101e-01,4.998793601989746094e-01,5.496484041213989258e-01,-5.073519945144653320e-01,4.365790486335753839e-01,0.000000000000000000e+00
1.658939432368068933e+09,2.212139070034027100e-01,8.935692161321640015e-02,-2.565604150295257013e-01,4.998879730701445978e-01,5.496593117713928223e-01,-5.071695446968078613e-01,4.367674589157103937e-01,0.000000000000000000e+00
1.658939432375462294e+09,2.211620956659317017e-01,8.940713107585900044e-02,-2.565191686153411865e-01,4.997416138648986816e-01,5.496211647987365723e-01,-5.075199604034423828e-01,4.365757405757904053e-01,0.000000000000000000e+00
