time,x,y,z,qx,qy,qz,qw,gripper_stat
1.658941208774997234e+09,1.863923072814941129e-01,1.107782647013663968e-01,-2.552868127822875977e-01,5.567109584808349609e-01,4.763126373291015070e-01,-4.823475480079650879e-01,4.801457524299621027e-01,0.000000000000000000e+00
1.658941208784506798e+09,1.861898452043533048e-01,1.107471883296965998e-01,-2.552298009395598810e-01,5.568354129791259766e-01,4.762597382068634033e-01,-4.821149408817291260e-01,4.802877902984619141e-01,0.000000000000000000e+00
1.658941208792500496e+09,1.860302388668060025e-01,1.106779277324675959e-01,-2.551634609699249268e-01,5.569921731948852539e-01,4.761735200881958008e-01,-4.819728136062622070e-01,4.803340435028076172e-01,0.000000000000000000e+00
1.658941208798190594e+09,1.857784539461135864e-01,1.105621531605719965e-01,-2.550916969776153009e-01,5.571779012680053711e-01,4.763159155845642090e-01,-4.815945327281951904e-01,4.803568720817565918e-01,0.000000000000000000e+00
1.658941208805171013e+09,1.856138110160827082e-01,1.105539351701736034e-01,-2.550670802593231201e-01,5.573189854621887207e-01,4.760413467884063166e-01,-4.815669357776641846e-01,4.804930984973906916e-01,0.000000000000000000e+00
1.658941208814077377e+09,1.854773461818695068e-01,1.104554235935211043e-01,-2.550314962863922119e-01,5.573850870132446289e-01,4.760262370109558105e-01,-4.814876914024353027e-01,4.805106520652770996e-01,0.000000000000000000e+00
1.658941208838809967e+09,1.853216886520384910e-01,1.103247553110121987e-01,-2.550048530101776123e-01,5.574112534523010254e-01,4.759315550327301025e-01,-4.814495146274566095e-01,4.806123673915863037e-01,0.000000000000000000e+00
1.658941208848704100e+09,1.851779818534851074e-01,1.102032810449599942e-01,-2.549746036529541016e-01,5.575296282768249512e-01,4.758278131484984796e-01,-4.813761413097381037e-01,4.806513786315917969e-01,0.000000000000000000e+00
1.658941208857822895e+09,1.850248277187347135e-01,1.100925803184509000e-01,-2.549614012241362970e-01,5.576034784317016602e-01,4.758603274822235107e-01,-4.813939034938812256e-01,4.805156290531157892e-01,0.000000000000000000e+00
1.658941208865278006e+09,1.848773658275603970e-01,1.099037602543830039e-01,-2.549223005771636963e-01,5.577892661094665527e-01,4.758882522583007812e-01,-4.811131954193115234e-01,4.805534780025482178e-01,0.000000000000000000e+00
1.658941208872155905e+09,1.847247332334517878e-01,1.097417399287222983e-01,-2.549289166927337091e-01,5.578398108482360840e-01,4.759688377380371094e-01,-4.808421134948729914e-01,4.806863963603972834e-01,0.000000000000000000e+00
1.658941208880011082e+09,1.845561563968657892e-01,1.095829159021377008e-01,-2.549065947532653809e-01,5.582772493362426758e-01,4.756042957305908203e-01,-4.806462824344635010e-01,4.807352721691131037e-01,0.000000000000000000e+00
1.658941208887846947e+09,1.844536364078520896e-01,1.093729510903358043e-01,-2.548851966857910156e-01,5.584523081779479980e-01,4.756818413734436035e-01,-4.803868830204010010e-01,4.807143509387969971e-01,0.000000000000000000e+00
1.658941208894752502e+09,1.842875778675079068e-01,1.090885177254675986e-01,-2.548164129257202148e-01,5.588220357894897461e-01,4.757449626922606867e-01,-4.799543619155883789e-01,4.806543290615081787e-01,0.000000000000000000e+00
1.658941208899493694e+09,1.841203272342681885e-01,1.088551729917525968e-01,-2.548317611217498779e-01,5.589614510536193848e-01,4.757771790027617853e-01,-4.794908463954924982e-01,4.809229075908660889e-01,0.000000000000000000e+00
1.658941208911479235e+09,1.836973875761032104e-01,1.083698347210883955e-01,-2.546384930610656738e-01,5.603159070014953613e-01,4.742993116378784180e-01,-4.792340695858001154e-01,4.810625314712523859e-01,0.000000000000000000e+00
1.658941208919488907e+09,1.835088729858397882e-01,1.081060171127319058e-01,-2.546150982379912775e-01,5.606744289398193359e-01,4.740050435066223145e-01,-4.790523946285247803e-01,4.811155200004577082e-01,0.000000000000000000e+00
