time,x,y,z,qx,qy,qz,qw,gripper_stat
1.659113510589140415e+09,2.966657280921936035e-01,8.076473325490950150e-02,-3.163293600082396906e-01,-4.309364259243010919e-01,-5.907850861549377441e-01,2.940998673439025879e-01,-6.154446601867675781e-01,0.000000000000000000e+00
1.659113510598004580e+09,2.966783940792083740e-01,8.078352361917490176e-02,-3.163238167762755793e-01,-4.309500753879547119e-01,-5.907014608383178711e-01,2.941308915615081787e-01,-6.155005693435668945e-01,0.000000000000000000e+00
1.659113510607243538e+09,2.967042028903961182e-01,8.080515265464779939e-02,-3.163464069366455078e-01,-4.310261309146881104e-01,-5.904583334922790527e-01,2.942098379135131836e-01,-6.156428456306457520e-01,0.000000000000000000e+00
1.659113510615976334e+09,2.967671155929564875e-01,8.085769414901730623e-02,-3.161832094192504883e-01,-4.311745166778563898e-01,-5.905932784080505371e-01,2.948068976402282160e-01,-6.151236295700073242e-01,0.000000000000000000e+00
1.659113510628122330e+09,2.967896163463591974e-01,8.086189627647399902e-02,-3.161638081073760986e-01,-4.312527775764464777e-01,-5.905272364616394043e-01,2.948084175586699884e-01,-6.151314973831176758e-01,0.000000000000000000e+00
1.659113510635235071e+09,2.968149483203887939e-01,8.085530251264569368e-02,-3.161453008651732843e-01,-4.313425421714782160e-01,-5.904813408851623535e-01,2.948243319988250732e-01,-6.151049733161926270e-01,0.000000000000000000e+00
1.659113510645677567e+09,2.968502640724182129e-01,8.085720986127850618e-02,-3.161238133907318115e-01,-4.315090477466583252e-01,-5.903993248939514160e-01,2.948170602321624756e-01,-6.150702834129333496e-01,0.000000000000000000e+00
1.659113510652612448e+09,2.968750000000000000e-01,8.085525780916209826e-02,-3.161049783229827881e-01,-4.315862357616424005e-01,-5.903854370117187500e-01,2.948011457920073908e-01,-6.150372028350830078e-01,0.000000000000000000e+00
1.659113510659498930e+09,2.968614399433135986e-01,8.082734048366539692e-02,-3.162120282649993896e-01,-4.315601885318756104e-01,-5.901609659194946289e-01,2.944146692752838135e-01,-6.154558658599853516e-01,0.000000000000000000e+00
1.659113510665671587e+09,2.968882322311400812e-01,8.083470165729519930e-02,-3.161948025226593018e-01,-4.315727055072783869e-01,-5.901952385902404785e-01,2.944048047065734863e-01,-6.154189109802246094e-01,0.000000000000000000e+00
1.659113510670707703e+09,2.969141900539398193e-01,8.084729313850400056e-02,-3.161830008029937744e-01,-4.315325617790222168e-01,-5.902556777000427246e-01,2.944105863571166992e-01,-6.153863072395324707e-01,0.000000000000000000e+00
1.659113510677413702e+09,2.969380617141723078e-01,8.085343986749639333e-02,-3.161607086658477783e-01,-4.314999282360076904e-01,-5.903106927871704102e-01,2.944625020027160089e-01,-6.153315305709838867e-01,0.000000000000000000e+00
1.659113510681707382e+09,2.969741523265838068e-01,8.087989687919609760e-02,-3.161717355251312256e-01,-4.313871264457702082e-01,-5.902900099754333496e-01,2.946577668190001886e-01,-6.153371334075927734e-01,0.000000000000000000e+00
1.659113510687634468e+09,2.970350086688994806e-01,8.086962997913360596e-02,-3.161411881446837824e-01,-4.313718378543853760e-01,-5.904641747474670410e-01,2.948281168937683105e-01,-6.150990128517150879e-01,0.000000000000000000e+00
1.659113510696195602e+09,2.970528304576873779e-01,8.087350428104400635e-02,-3.161248564720153809e-01,-4.313622415065764826e-01,-5.904860496520996094e-01,2.948034703731536865e-01,-6.150965690612792969e-01,0.000000000000000000e+00
1.659113510703464508e+09,2.970670461654663086e-01,8.087942004203789448e-02,-3.161053061485289972e-01,-4.313436150550841730e-01,-5.905197858810424805e-01,2.947857379913330078e-01,-6.150857210159301758e-01,0.000000000000000000e+00
1.659113510711293221e+09,2.970601618289946955e-01,8.090295642614360461e-02,-3.159192502498626154e-01,-4.315058887004851740e-01,-5.907912850379943848e-01,2.947737872600554865e-01,-6.147168278694152832e-01,0.000000000000000000e+00
1.659113510723177433e+09,2.970925569534301758e-01,8.090139180421819509e-02,-3.159189224243164062e-01,-4.315167665481566828e-01,-5.907885432243347168e-01,2.949160337448120117e-01,-6.146436333656311035e-01,0.000000000000000000e+00
1.659113510732361317e+09,2.970970571041107178e-01,8.091671019792549824e-02,-3.158137202262877863e-01,-4.320029020309448242e-01,-5.906640887260437012e-01,2.945619523525238037e-01,-6.145915389060974121e-01,0.000000000000000000e+00
1.659113510739471912e+09,2.970994412899016779e-01,8.091133832931510228e-02,-3.157949149608612061e-01,-4.320385456085205078e-01,-5.906811356544494629e-01,2.945248484611511230e-01,-6.145678758621215820e-01,0.000000000000000000e+00
1.659113510756735563e+09,2.971028387546538752e-01,8.090560138225549869e-02,-3.157720863819121759e-01,-4.320653975009918213e-01,-5.907284021377563477e-01,2.944941818714141846e-01,-6.145183444023132324e-01,0.000000000000000000e+00
1.659113510764362812e+09,2.970781326293944757e-01,8.085606992244720459e-02,-3.158720731735228937e-01,-4.319894611835479736e-01,-5.905314087867736816e-01,2.941152453422545832e-01,-6.149422526359558105e-01,0.000000000000000000e+00
1.659113510771791220e+09,2.970902919769287109e-01,8.086209744215010209e-02,-3.158454298973082941e-01,-4.320169091224669855e-01,-5.906006693840026855e-01,2.940742969512938898e-01,-6.148760318756103516e-01,0.000000000000000000e+00
1.659113510779593229e+09,2.971025705337523859e-01,8.086259663105009599e-02,-3.158189654350280762e-01,-4.320362806320189875e-01,-5.906664729118347168e-01,2.940534353256225031e-01,-6.148092150688171387e-01,0.000000000000000000e+00
1.659113510788986921e+09,2.971220612525939941e-01,8.088451623916620425e-02,-3.157903254032135010e-01,-4.319997131824492853e-01,-5.909095406532287598e-01,2.941599786281585138e-01,-6.145502924919128418e-01,0.000000000000000000e+00
1.659113510796038628e+09,2.971554994583129883e-01,8.090545982122419877e-02,-3.157623112201690119e-01,-4.320546984672545832e-01,-5.909837484359741211e-01,2.940495312213897150e-01,-6.144932508468627930e-01,0.000000000000000000e+00
1.659113510803165197e+09,2.971550822257995050e-01,8.090357482433309377e-02,-3.157357573509215753e-01,-4.320830106735228937e-01,-5.910243391990661621e-01,2.941713929176330011e-01,-6.143759489059448242e-01,0.000000000000000000e+00
1.659113510811362982e+09,2.971885204315184992e-01,8.092232048511499576e-02,-3.157106339931488037e-01,-4.321930110454558771e-01,-5.910359025001525879e-01,2.940937876701354980e-01,-6.143246293067932129e-01,0.000000000000000000e+00
1.659113510816610336e+09,2.974301576614379883e-01,8.106097579002380371e-02,-3.155976533889769953e-01,-4.340731203556060791e-01,-5.899794101715087891e-01,2.936711907386779785e-01,-6.142166256904602051e-01,0.000000000000000000e+00
1.659113510824250460e+09,2.974255979061126154e-01,8.110114932060240311e-02,-3.155770003795623779e-01,-4.341386854648590088e-01,-5.898563861846923828e-01,2.937498390674591064e-01,-6.142508387565612793e-01,0.000000000000000000e+00
1.659113510829531431e+09,2.974626421928405762e-01,8.111661672592160310e-02,-3.155704438686370850e-01,-4.343229532241820734e-01,-5.896479487419128418e-01,2.938064634799957275e-01,-6.142936348915100098e-01,0.000000000000000000e+00
1.659113510835648060e+09,2.975040078163146973e-01,8.119297027587890625e-02,-3.154373764991760254e-01,-4.345152378082274836e-01,-5.897637009620666504e-01,2.941887080669403076e-01,-6.138634681701660156e-01,0.000000000000000000e+00
1.659113510841293097e+09,2.975247800350189209e-01,8.126553148031230578e-02,-3.153954446315764826e-01,-4.345439374446868896e-01,-5.897215604782104492e-01,2.943800389766693115e-01,-6.137918233871459961e-01,0.000000000000000000e+00
1.659113510847207785e+09,2.974573969841002863e-01,8.126698434352870593e-02,-3.153685033321380060e-01,-4.334850609302520752e-01,-5.902574062347412109e-01,2.947353720664978027e-01,-6.138550043106079102e-01,0.000000000000000000e+00
