time,x,y,z,qx,qy,qz,qw,gripper_stat
1658937446,-0.286582442,-0.135580426,0.163242381,0.715602435,-0.696757558,-0.016136935,0.046708246,0
1658937446,-0.286557384,-0.135595756,0.163177755,0.715624683,-0.696738041,-0.016101219,0.046670826,0
1658937446,-0.286528855,-0.135578277,0.163146255,0.715633299,-0.696734841,-0.016095202,0.046588478,0
1658937446,-0.286544819,-0.135585193,0.163159657,0.71562958,-0.69673524,-0.016126542,0.046628794,0
1658937446,0.284861416,0.160396308,-0.137284532,0.480646789,0.535768747,-0.480903149,0.500662148,0
1658937446,-0.286532896,-0.135577576,0.163127776,0.715630462,-0.696738365,-0.016084178,0.04658318,0
1658937446,0.284951925,0.160469443,-0.13717103,0.480635375,0.535788715,-0.480794132,0.500756502,0
1658937446,-0.286540106,-0.135584729,0.163118428,0.715637189,-0.696730869,-0.016098607,0.046586969,0
1658937446,0.285031825,0.160560682,-0.137073979,0.480697185,0.535799384,-0.480768234,0.500710726,0
1658937446,-0.286530212,-0.135575956,0.163116796,0.715629782,-0.696739051,-0.016118691,0.046571427,0
1658937446,0.285092533,0.160682663,-0.136982605,0.480618268,0.535817146,-0.480693579,0.500838995,0
1658937446,-0.286514015,-0.13559091,0.163091176,0.715638561,-0.696731897,-0.016086662,0.046554625,0
1658937446,-0.286491945,-0.135595376,0.163089241,0.715663181,-0.696708213,-0.016079052,0.046533231,0
1658937446,0.285154194,0.160774782,-0.136903018,0.480687886,0.535907984,-0.480546385,0.500816405,0
1658937446,-0.28652036,-0.1355609,0.163078619,0.715614265,-0.696758704,-0.016098464,0.046522796,0
1658937446,0.285239756,0.160859615,-0.136818677,0.480651379,0.536025822,-0.480419129,0.500847399,0
1658937446,-0.286526147,-0.13556738,0.163082223,0.715640608,-0.696730277,-0.016115319,0.046537493,0
1658937446,0.285290956,0.160942256,-0.136750877,0.480729997,0.536048949,-0.480328888,0.50083369,0
1658937446,-0.286502528,-0.135585886,0.163062964,0.715649945,-0.696722052,-0.01607825,0.046529876,0
1658937446,0.285353124,0.161035731,-0.136672273,0.480859697,0.536055326,-0.480132908,0.500890255,0
1658937446,-0.286517014,-0.135590603,0.163076262,0.715644492,-0.696725975,-0.01610347,0.046546268,0
1658937446,0.285420328,0.161150172,-0.136571884,0.481143326,0.53602773,-0.479958236,0.500815034,0
1658937446,-0.286500207,-0.135581535,0.163065923,0.715652763,-0.696719715,-0.016101535,0.046513454,0
1658937446,0.28549245,0.161279127,-0.136453465,0.481269389,0.535921276,-0.479855567,0.500905991,0
1658937446,-0.286504528,-0.135568922,0.163039207,0.715638614,-0.696736313,-0.016081832,0.046489349,0
1658937446,0.285532087,0.161452815,-0.136330932,0.481387824,0.535865188,-0.479745716,0.50095737,0
1658937446,-0.286494029,-0.135586586,0.163029867,0.715649685,-0.696725982,-0.016057058,0.04648231,0
1658937446,0.285571665,0.161668196,-0.136195704,0.48141703,0.535886049,-0.479670405,0.500979125,0
1658937446,-0.286502601,-0.135574679,0.16303697,0.715657081,-0.696716884,-0.016083083,0.046495816,0
1658937446,0.285614759,0.161934808,-0.136063963,0.481360584,0.535696149,-0.47969988,0.501208305,0
1658937446,-0.286496859,-0.135578084,0.163009607,0.715637381,-0.696739115,-0.016055541,0.046475416,0
1658937446,0.285687447,0.162222624,-0.13592495,0.481253058,0.535666406,-0.479615062,0.501424432,0
1658937446,-0.286490655,-0.13557572,0.162988453,0.715686857,-0.696691725,-0.016035201,0.046430973,0
1658937446,0.285746813,0.162488624,-0.135796919,0.481218308,0.535688579,-0.479445845,0.501595855,0
1658937446,-0.286504281,-0.135558933,0.163016652,0.71564226,-0.696733547,-0.01609734,0.046469301,0
1658937446,0.28579995,0.162794858,-0.135684326,0.481159508,0.535712302,-0.479241878,0.501821935,0
1658937446,-0.286472671,-0.135571687,0.162978499,0.715673609,-0.69670622,-0.01604432,0.046414537,0
1658937446,0.285869122,0.16307652,-0.135541856,0.481112599,0.535783768,-0.479024172,0.501998365,0
1658937446,-0.286486497,-0.135575415,0.163002351,0.715681047,-0.69669484,-0.016093522,0.046453602,0
1658937446,0.286022186,0.163484082,-0.135296524,0.481069744,0.536083817,-0.478874415,0.50186193,0
1658937446,-0.286473195,-0.135585373,0.162984622,0.715674776,-0.696703461,-0.016054003,0.046434599,0
1658937446,0.286094725,0.163826868,-0.135156974,0.480990022,0.536169291,-0.478620529,0.502089262,0
1658937446,-0.286471643,-0.13557579,0.162978217,0.715673964,-0.69670552,-0.016060823,0.046413852,0
1658937446,-0.286465774,-0.1355563,0.162970891,0.715662517,-0.69671839,-0.016076944,0.046391579,0
1658937446,0.286242157,0.164238751,-0.134986401,0.481529355,0.536011279,-0.478063583,0.502271414,0
1658937446,-0.286469582,-0.135576853,0.162958997,0.715674267,-0.696705435,-0.016051388,0.046413708,0
1658937446,-0.286456053,-0.135596919,0.162961437,0.715684416,-0.696695022,-0.016046549,0.046415193,0
1658937446,-0.286468345,-0.135560158,0.16294387,0.715675573,-0.696706421,-0.016065329,0.046373953,0
1658937446,-0.286469277,-0.135547268,0.162939996,0.715681064,-0.696701341,-0.016070567,0.046363703,0
1658937446,0.286317259,0.164612174,-0.134826005,0.48142615,0.536159754,-0.477781087,0.502480745,0
1658937446,-0.286440348,-0.135560693,0.162933197,0.715682526,-0.696701375,-0.016060946,0.04634395,0
1658937446,-0.286465303,-0.135566505,0.162936489,0.715686518,-0.696694665,-0.01607461,0.046378431,0
1658937446,0.28644821,0.164983183,-0.134630919,0.481547087,0.536329091,-0.477321804,0.502620757,0
1658937446,-0.286442279,-0.135585164,0.162921838,0.715699836,-0.696683104,-0.016055202,0.046353303,0
1658937446,0.286568105,0.165398329,-0.134409919,0.48134473,0.536617756,-0.477130145,0.502688348,0
1658937446,-0.286441171,-0.135574299,0.162924585,0.715704856,-0.696677756,-0.016075557,0.046349106,0
1658937446,0.286625713,0.165807337,-0.13429749,0.48116532,0.536591828,-0.477034688,0.502978384,0
1658937446,-0.286441369,-0.135559895,0.162900394,0.715680832,-0.696704313,-0.016049848,0.046329785,0
1658937446,0.286677271,0.166180596,-0.134168699,0.481030762,0.536692262,-0.476724714,0.503293633,0
1658937446,-0.286433854,-0.135567723,0.162887309,0.715680418,-0.696705812,-0.016019602,0.046324113,0
1658937446,0.286769956,0.16652593,-0.133941978,0.480937868,0.536822617,-0.476531953,0.503425956,0
1658937446,-0.286432356,-0.135576718,0.162889288,0.715715891,-0.696669381,-0.016036636,0.046318062,0
1658937446,-0.286429712,-0.135558025,0.162879769,0.715698176,-0.696689149,-0.016058308,0.04628695,0
1658937446,-0.286415482,-0.135564079,0.162876431,0.715709984,-0.696677587,-0.016046918,0.04628234,0
1658937446,0.286868334,0.166860133,-0.133734196,0.481014013,0.536853015,-0.476231933,0.503604472,0
1658937446,-0.286422485,-0.135552212,0.16287157,0.715711408,-0.696675971,-0.016046499,0.046284787,0
1658937446,0.286927223,0.167184651,-0.133589357,0.481090128,0.536929488,-0.476015091,0.503655374,0
1658937446,-0.286429171,-0.135548432,0.162861792,0.715700592,-0.696688321,-0.016060448,0.046261303,0
1658937446,0.28699851,0.16751647,-0.133391559,0.480985224,0.537086606,-0.475794256,0.503796697,0
1658937446,-0.286412836,-0.135548028,0.162834434,0.715699002,-0.696693095,-0.016020858,0.046227719,0
1658937446,0.287092507,0.167848617,-0.133114025,0.481146187,0.537196577,-0.475575596,0.503732204,0
1658937446,-0.286411123,-0.135519047,0.162833441,0.715678109,-0.696716728,-0.016026685,0.046192972,0
1658937446,0.287166715,0.168113843,-0.13286905,0.481201857,0.53733331,-0.475574017,0.503534675,0
1658937446,-0.286409037,-0.135548392,0.162833824,0.715712541,-0.696678511,-0.016019341,0.046238423,0
1658937446,0.287231266,0.168360129,-0.132623509,0.481432557,0.537403226,-0.475444734,0.503361583,0
